 Tunnel specication:
 Variables:
    n type         cxsect         cysect         czsect        radsect      heighsect       basesect            djc            dkc             dr             dh             db            dxx            dyy            dzz
   3Sections
 
    1    1     0.00000000     0.50000000     0.50000000     0.35000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.05000000     0.05000000     0.05000000
    2    3     1.00000000     0.50000000     0.50000000     0.00000000     0.40000000     0.40000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.05000000     0.05000000     0.05000000
    3    1     2.00000000     0.50000000     0.50000000     0.20000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000       Infinity       Infinity       Infinity
   2Transistional Sections
 
 
Transistion section:  12
  edge        tran_sect(X)        tran_sect(Y)        tran_egde(X)        tran_edge(Y)
     1          0.74748737          0.74748737         -0.04748737         -0.04748737
     2          0.50000000          0.85000000          0.00000000         -0.10000000
     3          0.25251263          0.74748737          0.04748737         -0.04748737
     4          0.15000000          0.50000000          0.10000000          0.00000000
     5          0.25251263          0.25251263          0.04748737          0.04748737
     6          0.50000000          0.15000000          0.00000000          0.10000000
     7          0.74748737          0.25251263         -0.04748737          0.04748737
     8          0.85000000          0.50000000         -0.10000000          0.00000000
     9          0.00000000          0.00000000          0.00000000          0.00000000
 
Transistion section:  23
  edge        tran_sect(X)        tran_sect(Y)        tran_egde(X)        tran_edge(Y)
     1          0.70000000          0.70000000         -0.05857864         -0.05857864
     2          0.50000000          0.75000000          0.00000000         -0.05000000
     3          0.30000000          0.70000000          0.05857864         -0.05857864
     4          0.25000000          0.50000000          0.05000000          0.00000000
     5          0.30000000          0.30000000          0.05857864          0.05857864
     6          0.50000000          0.25000000         -0.00000000          0.05000000
     7          0.70000000          0.30000000         -0.05857864          0.05857864
     8          0.75000000          0.50000000         -0.05000000         -0.00000000
     9          0.00000000          0.00000000          0.00000000          0.00000000
