 Tunnel specication:
 Variables:
    n type         cxsect         cysect         czsect        radsect      heighsect       basesect            djc            dkc             dr             dh             db            dxx            dyy            dzz
  12Sections
 
    1    2     1.00000000     1.50000000     1.93900000     0.00000000     2.78300000     1.39100000     0.00000000    -0.12005520     0.00000000    -0.16007360    -0.08003680     0.05000000     0.05000000     0.05000000
    2    2     3.17400000     1.50000000     1.67800000     0.00000000     2.43500000     1.21700000     0.00000000    -0.24958949     0.00000000    -0.07224959    -0.03448276     0.05000000     0.05000000     0.05000000
    3    2     3.78300000     1.50000000     1.52600000     0.00000000     2.39100000     1.19600000     0.00000000    -0.45873321     0.00000000    -0.41650672    -0.20921305     0.05000000     0.05000000     0.05000000
    4    2     4.30400000     1.50000000     1.28700000     0.00000000     2.17400000     1.08700000            NaN      -Infinity     0.00000000       Infinity       Infinity     0.05000000     0.05000000     0.05000000
    5    2     4.30400000     1.50000000     1.25900000     0.00000000     2.39100000     1.19600000     0.00000000     0.00000000     0.00000000    -0.44827586    -0.22495895     0.05000000     0.05000000     0.05000000
    6    2     4.91300000     1.50000000     1.25900000     0.00000000     2.11800000     1.05900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.05000000     0.05000000     0.05000000
    7    2     5.73700000     1.50000000     1.25900000     0.00000000     2.11800000     1.05900000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02500000     0.02500000     0.02500000
    8    1     6.76600000     1.50000000     1.25900000     0.50000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.02500000     0.02500000     0.02500000
    9    1     7.26600000     1.50000000     1.25900000     0.50000000     0.00000000     0.00000000     0.00000000     0.00000000     0.15742397     0.00000000     0.00000000     0.02500000     0.02500000     0.02500000
   10    1     8.38400000     1.50000000     1.25900000     0.67600000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.05000000     0.05000000     0.05000000
   11    2    10.68400000     1.50000000     1.15900000     0.00000000     1.55000000     2.13300000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.05000000     0.05000000     0.05000000
   12    2    11.00000000     1.50000000     1.15900000     0.00000000     1.55000000     2.13300000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000       Infinity       Infinity       Infinity
   2Transistional Sections
 
 
Transistion section:  78
  edge        tran_sect(X)        tran_sect(Y)        tran_egde(X)        tran_edge(Y)
     1          2.02950000          2.31800000         -0.17098796         -0.68556522
     2          1.50000000          2.31800000          0.00000000         -0.54324587
     3          0.97050000          2.31800000          0.17098796         -0.68556522
     4          0.97050000          1.25900000          0.02866861          0.00000000
     5          0.97050000          0.20000000          0.17098796          0.68556522
     6          1.50000000          0.20000000          0.00000000          0.54324587
     7          2.02950000          0.20000000         -0.17098796          0.68556522
     8          2.02950000          1.25900000         -0.02866861         -0.00000000
     9          0.00000000          0.00000000          0.00000000          0.00000000
 
Transistion section: 111
  edge        tran_sect(X)        tran_sect(Y)        tran_egde(X)        tran_edge(Y)
     1          1.97800418          1.73700418          0.25586775          0.08565035
     2          1.50000000          1.93500000          0.00000000         -0.00043478
     3          1.02199582          1.73700418         -0.25586775          0.08565035
     4          0.82400000          1.25900000         -0.16978261         -0.04347826
     5          1.02199582          0.78099582         -0.25586775         -0.17260688
     6          1.50000000          0.58300000          0.00000000         -0.08652174
     7          1.97800418          0.78099582          0.25586775         -0.17260688
     8          2.17600000          1.25900000          0.16978261         -0.04347826
     9          0.00000000          0.00000000          0.00000000          0.00000000
